chain_name;wallet_address;transaction_type;transaction_status;sent_amount;transaction_url;date;error
Polygon;0x9edFF45fb47dd8eE43F2227eafE9345D3D30b63a;RANDOM-transaction;SUCCESS;0.0005775510204081633;https://mumbai.polygonscan.com/tx/0xed09b39742fa20cf2a90104ed91035a22ae339c545003d37911eb648cc2cc200;14-11-2023;-
Polygon;0x1364aa030fF4F4a683B8E07471b70b4627d03476;RANDOM-transaction;SUCCESS;0.0003020408163265306;https://mumbai.polygonscan.com/tx/0x44d4d6909ae9eac659afdf386eae616fbd7eff2b2ebb289a735007d5cda25d7f;14-11-2023;-
Polygon;0xAc64062A39172ef043DC68bdAC0e8a94FC19042e;SELF-transaction;SUCCESS;0.00011836734693877552;https://mumbai.polygonscan.com/tx/0xe0586a7649790aa3fdd2cae98ab475f61f2897f4897735f5a011b00219dd6bc8;14-11-2023;-
Polygon;0xd9594eeD6a297D7c8DA4887b5A204c539E4fA0f7;SELF-transaction;SUCCESS;0.00017346938775510205;https://mumbai.polygonscan.com/tx/0x0604acd4cbdd65ac863ebd70dfb23ded92beec0ccc0e6fc9d469bace2880fd56;14-11-2023;-
Polygon;0x9edFF45fb47dd8eE43F2227eafE9345D3D30b63a;RANDOM-transaction;SUCCESS;0.000853061224489796;https://mumbai.polygonscan.com/tx/0xa1bb33c4d47bf34d231e3e356ef201bd1d38fe5c33dd885e344f92b105d9983f;14-11-2023;-
Polygon;0x1364aa030fF4F4a683B8E07471b70b4627d03476;SELF-transaction;SUCCESS;0.0009081632653061226;https://mumbai.polygonscan.com/tx/0x9026e740c0f25c57aad2d4c8f6910c84908036e3b2200e5c3ece5d702d3b8c87;14-11-2023;-
Binance Smart Chain;0x3309821aa89b1D42fe8EACff2FA56CC8c5FA06FE;SELF-transaction;SUCCESS;0.0005959183673469389;https://testnet.bscscan.com/tx/0x3155a06de77a4d723f36e8851a0f812d37b10d46aadb5d019c95202c9ca7abf7;14-11-2023;-
Polygon;0xAc64062A39172ef043DC68bdAC0e8a94FC19042e;RANDOM-transaction;SUCCESS;0.0009081632653061226;https://mumbai.polygonscan.com/tx/0xebf936cbca2e5661f5220ebae58875b53dd52d07f9110b3e35c665b433ce81d0;14-11-2023;-
Binance Smart Chain;0xdf24026b19c60fCF9cD6145c237BD140EFe9f390;SELF-transaction;SUCCESS;0.0001;https://testnet.bscscan.com/tx/0xda49ed87b42e0579d29db991a30d28e4024464ddf2448b07fef45c6d2e626a04;14-11-2023;-
Polygon;0x1364aa030fF4F4a683B8E07471b70b4627d03476;SELF-transaction;SUCCESS;0.00019183673469387756;https://mumbai.polygonscan.com/tx/0xfb995e88215fe28d566b46ddfd8c7a92bcdf7d9a87242f723f0a260ef45b81a5;14-11-2023;-
Binance Smart Chain;0x3309821aa89b1D42fe8EACff2FA56CC8c5FA06FE;RANDOM-transaction;SUCCESS;0.00017346938775510205;https://testnet.bscscan.com/tx/0x23106aff9411a58075dfff7164475a897222292924cf26cb7034d04d364cdfdb;14-11-2023;-
Binance Smart Chain;0xdf24026b19c60fCF9cD6145c237BD140EFe9f390;RANDOM-transaction;SUCCESS;0.00041224489795918366;https://testnet.bscscan.com/tx/0x1cbbd4e9bda37cd08026e45a64596c2c5b3839e899809c6fd6a61640c1094e12;14-11-2023;-
Polygon;0x1364aa030fF4F4a683B8E07471b70b4627d03476;SELF-transaction;SUCCESS;0.000853061224489796;https://mumbai.polygonscan.com/tx/0x1ea97a4a33859f9490f22a0d8edef9ceb75aee34845b023bf6f6d43b9f7210f0;14-11-2023;-
Binance Smart Chain;0x3309821aa89b1D42fe8EACff2FA56CC8c5FA06FE;RANDOM-transaction;SUCCESS;0.00019183673469387756;https://testnet.bscscan.com/tx/0xcf6755b64f0bb4905f2320e8abbb3285726af159b8b49ff0943363fc9755a7de;14-11-2023;-
Binance Smart Chain;0xdf24026b19c60fCF9cD6145c237BD140EFe9f390;RANDOM-transaction;SUCCESS;0.0003204081632653061;https://testnet.bscscan.com/tx/0xd2c354461aa96f834d2b18d1143842d7c17bcc8348a6f660446ce0ebb7861d29;14-11-2023;-
